STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
       4063;19500101;19501231;    5;  -999;   8.99;    -999;    5.17;-999;-999;-999;-999;-999;    5;   735.2;   28.5;eor
       4063;19510101;19511231;    5;  5.40;   9.41;   13.58;    5.40;    1.91;-999;-999;  31.6;  -5.6;    5;   704.3;   26.9;eor
       4063;19520101;19521231;    5;  5.73;   8.50;   12.45;    4.72;    2.71;-999;-999;  34.1; -10.5;    5;   647.8;   31.4;eor
       4063;19530101;19531231;    5;  5.39;   9.71;   14.08;    5.69;    2.63;-999;-999;  33.2; -17.5;    5;   473.5;   18.0;eor
       4063;19540101;19541231;    5;  5.44;   8.51;   12.42;    4.66;    3.09;-999;-999;  31.1; -17.1;    5;   841.3;   63.1;eor
       4063;19550101;19551231;    5;  5.26;   8.33;   12.49;    4.21;    2.73;-999;-999;  30.4; -14.8;    5;   567.2;   18.1;eor
       4063;19560101;19561231;    5;  5.75;   7.54;   11.52;    3.79;    2.66;-999;-999;  27.3; -23.5;    5;   778.4;   35.5;eor
       4063;19570101;19571231;    5;  5.63;   9.46;   13.54;    5.51;    2.69;-999;-999;  34.7; -18.1;    5;   753.4;   25.0;eor
       4063;19580101;19581231;    5;  5.68;   8.97;   12.76;    5.49;    2.67;-999;-999;  28.3; -11.3;    5;   780.6;   31.7;eor
       4063;19590101;19591231;    5;  4.65;   9.91;   14.87;    5.12;    2.58;-999;-999;  36.6; -14.5;    5;   426.4;   51.8;eor
       4063;19600101;19601231;    5;  5.57;   9.26;   13.10;    5.75;    2.68;-999;-999;  31.4; -15.7;    5;   764.0;   40.7;eor
       4063;19610101;19611231;    5;  5.39;   9.73;   13.75;    6.17;    2.57;-999;-999;  32.1; -12.4;    5;   867.8;   24.5;eor
       4063;19620101;19621231;    5;  5.50;   7.61;   11.44;    3.94;    2.41;-999;-999;  27.6; -17.2;    5;   610.0;   30.5;eor
       4063;19630101;19631231;    5;  5.21;   7.54;   11.55;    3.42;    2.36;-999;-999;  35.1; -18.8;    5;   616.3;   32.2;eor
